+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][9]_srl8/D|
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][7]_srl8/D|
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][11]_srl8/D|
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][8]_srl8/D|
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][1]_srl8/D|
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][12]_srl8/D|
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][5]_srl8/D|
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][6]_srl8/D|
|               RFADC0_CLK |clk_out1_top_level_clk_wiz_1_0 |top_level_i/rfsoc_adc_data_captu_0/inst/system_ila_1/inst/ila_lib/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[8]/D|
